Título do filme,vote_count,Ano,Plotwords,Gênero,Diretor,poster_path,overview,keywords
Monty Python and the Holy Grail,6222.0,1975,And now! At Last! Another film completely different from some of the other films which aren't quite the same as this one is.,"Adventure, Comedy, Fantasy","Terry Jones, Terry Gilliam",/7nTkHjETdGMYK1phHwDbPsrzbYl.jpg,"""And now! At Last! Another film completely different from some of the other films which aren't quite the same as this one is.""","holy grail, swordplay, england, monk, wedding reception, scotland yard, midnight movie, animal attack, camelot, round table, chapter, satire, parody, breaking the fourth wall, knight, king arthur, knights of the round table, 10th century, anarchic comedy, hilarious"
The Evil Dead,4342.0,1981,The ultimate experience in gruelling terror.,Horror,Sam Raimi,/54C1qdaiSijIU5NeNb4WsPJdNkG.jpg,"""The ultimate experience in gruelling terror.""","falsely accused, audio tape, aggression, log cabin, chain saw, giant plant, lodge, friends, stop motion, zombie, occult, book of the dead, necronomicon, demonic possession, video nasty"
Evil Dead II,3377.0,1987,Kiss your nerves goodbye!,"Horror, Comedy, Fantasy",Sam Raimi,/4zqCKJVHUolGs6C5AZwAZqLWixW.jpg,"""Kiss your nerves goodbye!""","blood splatter, deer, tape recorder, chainsaw, spirit, over the top, book of the dead, evil dead, eyeball, necronomicon, tarmac, meat cleaver, psychotronic, shocking, bewildered, excited"
Army of Darkness,3408.0,1992,Trapped in time. Surrounded by evil. Low on gas.,"Fantasy, Horror, Comedy",Sam Raimi,/xsgTuAtR2zSH8Umg3jWZcZjlDpe.jpg,"""Trapped in time. Surrounded by evil. Low on gas.""","witch, skeleton, swordplay, supermarket, prophecy, castle, time travel, catapult, chain saw, incantation, time frame, pit, windmill, undead, knight, zombie, middle ages (476-1453), necronomicon, doppelgänger, psychotronic, 13th century, hilarious, enchant, excited"
Harry Potter and the Half-Blood Prince,20431.0,2009,Dark secrets revealed.,"Adventure, Fantasy",David Yates,/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,"""Dark secrets revealed.""","witch, dying and death, london, england, magic, school of witchcraft, apparition, curse, teenage crush, school, werewolf, teenage love, luck, wizard, secret past, christmas, based on young adult novel, wizarding world"
From Hell,2945.0,2001,More than the legend will survive.,"Horror, Mystery, Thriller","Albert Hughes, Allen Hughes",/t2WpWM8nBO4sULXr2bDfNEt4qgr.jpg,"""More than the legend will survive.""","london, england, loss of loved one, drug addiction, jack the ripper, based on comic, united kingdom"
GoodFellas,13940.0,1990,Three decades of life in the mafia.,"Drama, Crime",Martin Scorsese,/9OkCLM73MIU2CrKZbqiT8Ln1wY2.jpg,"""Three decades of life in the mafia.""","prison, florida, new york city, based on novel or book, gangster, mass murder, drug trafficking, 1970s, irish-american, gore, biography, based on true story, murder, organized crime, mafia, brooklyn, new york city, crime epic, tampa, florida"
Gone with the Wind,4279.0,1939,The greatest romance of all time!,"Drama, War, Romance",Victor Fleming,/lNz2Ow0wGCAvzckW7EOjE03KcYv.jpg,"""The greatest romance of all time!""","civil war, based on novel or book, marriage crisis, loss of loved one, widow, atlanta, slavery, plantation, typhus, romance, casualty of war, second marriage, american civil war, technicolor, reconstruction era, businesswoman, 1860s, 1870s, antebellum south"
Home Alone,12223.0,1990,A family comedy without the family.,"Comedy, Family",Chris Columbus,/i5We88HdO9Nsrv8xLyo4toNsLUM.jpg,"""A family comedy without the family.""","burglar, holiday, family relationships, slapstick comedy, little boy, home invasion, precocious child, booby trap, home alone, suburban chicago, mischievous child, christmas, kids on their own, child rescue"
Home Alone 2: Lost in New York,10380.0,1992,He's up past his bedtime in the city that never sleeps.,"Comedy, Family, Adventure",Chris Columbus,/9CAkQ9nfrDaIAyncWndwg0tfC8g.jpg,"""He's up past his bedtime in the city that never sleeps.""","new york city, burglar, holiday, family relationships, sequel, slapstick comedy, little boy, home invasion, family, precocious child, home alone, mischievous child, christmas, kids on their own, child rescue"
Little Miss Sunshine,7634.0,2006,A family on the verge of a breakdown.,"Comedy, Drama","Jonathan Dayton, Valerie Faris",/niNdhTpPHSgw22tK0PLjQMV640v.jpg,"""A family on the verge of a breakdown.""","california, husband wife relationship, sibling relationship, literature professor, family's daily life, highway, beauty contest, beauty queen contest, road trip, family relationships, family holiday, road movie, woman director, beauty pageant"
A Trip to the Moon,1932.0,1902,The first science fiction film!,"Adventure, Science Fiction, Fantasy",Georges Méliès,/9o0v5LLFk51nyTBHZSre6OB37n2.jpg,"""The first science fiction film!""","adolescence, coming of age, growing up, teenage boy"
Gattaca,6727.0,1997,There is no gene for the human spirit.,"Thriller, Science Fiction, Mystery, Romance",Andrew Niccol,/eSKr5Fl1MEC7zpAXaLWBWSBjgJq.jpg,"""There is no gene for the human spirit.""","genetics, cheating, paraplegic, suicide attempt, hostility, dystopia, dna, new identity, investigation, heart disease, spaceman, fake identity, blood sample, biotechnology, space mission, exercise, eugenics"
Gandhi,2441.0,1982,His triumph changed the world forever.,"Drama, History",Richard Attenborough,/rOXftt7SluxskrFrvU7qFJa5zeN.jpg,"""His triumph changed the world forever.""","muslim, strike, prayer, freedom, independence, release from prison, demonstration, world war ii, imprisonment, colony, hunger strike, hindu, british army, political negotiations, conference, nonviolent resistance, apartheid, british empire, protest, independence movement, biography, idealism, based on true story, idealist, fighting the system"
Almost Famous,3003.0,2000,Experience it. Enjoy it. Just don't fall for it.,"Drama, Music",Cameron Crowe,/3rrkyLYbgLj84AYvjhdcJot4JPx.jpg,"""Experience it. Enjoy it. Just don't fall for it.""","hotel room, concert, rock 'n' roll, stewardess, drug addiction, san diego, california, overdose, groupie, music journalist, heavy metal, based on true story, swimming pool, coming of age, promiscuity, on the road, domineering mother, reconciliation, semi autobiographical, innocence lost, bus trip, aspiring writer, teenager"
Mr. & Mrs. Smith,10983.0,2005,'Til death do us part.,"Action, Comedy, Drama, Thriller",Doug Liman,/kjD700RtyhveN3ZbOnSvUSne0Qj.jpg,"""'Til death do us part.""","assassin, bomb, hitman, marriage crisis, gun, secret identity, married couple, assault rifle, marriage, decoy, secret agent, dysfunctional marriage, gunfight, bullet wound"
Mrs. Doubtfire,6466.0,1993,She makes dinner. She does windows. She reads bedtime stories. She's a blessing... in disguise.,"Comedy, Drama, Family",Chris Columbus,/shHrSmXS5140o6sQzgzXxn3KqSm.jpg,"""She makes dinner. She does windows. She reads bedtime stories. She's a blessing... in disguise.""","mask, parent child relationship, san francisco, california, social worker, transvestite, nanny, restaurant, fake identity, custody battle, responsibility, voice acting, divorced couple"
Platoon,4915.0,1986,The first casualty of war is innocence.,"Drama, War, Action",Oliver Stone,/m3mmFkPQKvPZq5exmh0bDuXlD9T.jpg,"""The first casualty of war is innocence.""","dying and death, vietnam war, ambush, war crimes, village, mine, bunker, infantry, jungle, gang rape, soldier, battle, violent death, false accusations, platoon, combat, casualty of war, marijuana joint, marijuana pipe, anti war, wounded soldier, conscripts, military draft, violent man, american soldiers, tour of duty, murder witness, army vs civilians, war crime"
Blue Velvet,3700.0,1986,"It's a strange world, isn't it?","Mystery, Thriller, Crime",David Lynch,/tzXuURjPzCqtA6eL0Cswq9wzFx0.jpg,"""It's a strange world, isn't it?""","drug dealer, small town, sexual obsession, detective, nightclub, ear, surrealism, psychological abuse, murder, drugs, policeman, voyeurism, criterion, neo-noir"
The Omen,2311.0,1976,It is the greatest mystery of all because no human being will ever solve it.,"Horror, Thriller",Richard Donner,/mDcjjEu1fMNmsXi4l4D8IftlTix.jpg,"""It is the greatest mystery of all because no human being will ever solve it.""","ambassador, parent child relationship, prophecy, monk, photography, nanny, animal attack, pentagram, devil's son, birthmark, omen, murder, hospital, cowardliness, church, demon, death, archaeologist, catholicism, catholic priest"
City of Angels,2259.0,1998,She didn't believe in angels until she fell in love with one.,"Romance, Drama, Fantasy",Brad Silberling,/iuzxpUjHsbQJXV3kB9ZAdCimM60.jpg,"""She didn't believe in angels until she fell in love with one.""","suicide, operation, life and death, afterlife, angel, faith, heaven, remake, los angeles, california, interspecies romance"
Cruel Intentions,3469.0,1999,"In the game of seduction, there is only one rule: Never fall in love.","Drama, Romance",Roger Kumble,/76cCsRtQ5MJBAqoigojXsLXLJwh.jpg,"""In the game of seduction, there is only one rule: Never fall in love.""","bet, virgin, drug abuse, sibling relationship, based on novel or book, sexual obsession, upper class, cynic, sadistic, eroticism, innocence, cocaine, manipulation, seduction, love letter, private school, addiction, love, incest, psychotherapy"
Persona,2355.0,1966,Ingmar Bergman's most personal and original film.,Drama,Ingmar Bergman,/v2KsLNChpT6vLf0YFhkJmAtGkNq.jpg,"""Ingmar Bergman's most personal and original film.""","dream, nurse, confession, identity crisis, mental breakdown, betrayal, mute, patient, psychiatry, submerged, institution, dual personality, stage actress, duality, dissociative identities"
"Good Morning, Vietnam",2891.0,1987,The wrong man. In the wrong place. At the right time.,"Comedy, Drama, War",Barry Levinson,/sreISlFUn5TyR41QNjlfAdX5SEW.jpg,"""The wrong man. In the wrong place. At the right time.""","dying and death, vietnam war, rock 'n' roll, vietcong, right and justice, explosive, war crimes, radio station, radio presenter, cynic, entertainer, gi, u.s. air force, radio, saigon, provocation"
Lolita,2194.0,1962,How did they ever make a movie of Lolita?,"Drama, Comedy",Stanley Kubrick,/8Puqbeh0D95DpXFWep1rmH78btu.jpg,"""How did they ever make a movie of Lolita?""","hotel, depression, lolita, small town, secret love, based on novel or book, sexual obsession, summer camp, midlife crisis, loss of loved one, literature professor, widow, flirt, eroticism, youngster, motel, diary, seduction, provocation, fascination, one-sided love, forbidden love, adoptive father, older man younger woman relationship, sex with a minor"
Roman Holiday,2199.0,1953,,"Romance, Comedy, Drama",William Wyler,/8lI9dmz1RH20FAqltkGelY1v4BE.jpg,"""nan""","dance, rome, italy, photography, boat, secret identity, intelligence, embassy, forbidden love, sightseeing, duty, black and white"
Rosemary's Baby,4252.0,1968,Pray for Rosemary's Baby.,"Drama, Horror, Thriller",Roman Polanski,/uYgvlHceRFjAFbsNeMInYcLZLUb.jpg,"""Pray for Rosemary's Baby.""","husband wife relationship, based on novel or book, satanism, conspiracy, demonic possession, satanic ritual, pregnant wife, coven (akelarre), satanic cult, manhattan, new york city, woman in jeopardy, neighbor neighbor relationship"
Se7en,22519.0,1995,Gluttony. Greed. Sloth. Envy. Wrath. Pride. Lust.,"Crime, Mystery, Thriller",David Fincher,/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,"""Gluttony. Greed. Sloth. Envy. Wrath. Pride. Lust.""","drug dealer, rage and hate, police, s.w.a.t., sadism, self-fulfilling prophecy, psychopath, detective, rain, investigation, pension, evisceration, pride and vanity, immoderateness, insomnia, murder, serial killer, religion, seven deadly sins, depravity, neo-noir"
Shrek,18322.0,2001,The greatest fairy tale never told.,"Animation, Comedy, Fantasy, Adventure, Family","Andrew Adamson, Vicky Jenson",/iB64vpL3dIObOtMZgX3RqdVdQDc.jpg,"""The greatest fairy tale never told.""","princess, magic, fairy tale, donkey, liberation, lordship, prince, castle, robin hood, enchantment, swamp, parody, anthropomorphism, dragon, woman director, ogre, cartoon donkey, shrek cinematic universe"
Shrek 2,13128.0,2004,What happens after happily ever after?,"Animation, Family, Comedy, Fantasy, Adventure, Romance","Conrad Vernon, Andrew Adamson, Kelly Asbury",/2yYP0PQjG8zVqturh1BAqu2Tixl.jpg,"""What happens after happily ever after?""","prison, princess, magic, kingdom, fairy tale, liberation, transformation, honeymoon, prince, parents-in-law, enchantment, sequel, anthropomorphism, dragon, ogre, cartoon donkey, shrek cinematic universe"
Shrek the Third,9568.0,2007,He's in for the royal treatment.,"Fantasy, Adventure, Animation, Comedy, Family",Chris Miller,/n4SexGGQzI26E269tfpa80MZaGV.jpg,"""He's in for the royal treatment.""","ship, island, ambush, kingdom, boarding school, liberation of prisoners, pregnancy, traitor, shipwreck, stage, sadness, transformation, assault, prince, theater play, tricks, heir to the throne, conciliation, sequel, teacher, best friend, dragon, cowardliness, capture, duringcreditsstinger, ogre, cartoon donkey, shrek cinematic universe"
Aladdin,11792.0,1992,"Imagine if you had three wishes, three hopes, three dreams and they all could come true.","Animation, Family, Adventure, Fantasy, Romance","Ron Clements, John Musker",/eLFfl7vS8dkeG1hKp5mwbm37V83.jpg,"""Imagine if you had three wishes, three hopes, three dreams and they all could come true.""","hero, hustler, palace, sultan, flying carpet, musical, rags to riches, romance, monkey, family, first love, based on myths, legends or folklore, genie, arabian nights, live action and animation, live action remake, hilarious, familiar"
Airplane!,4906.0,1980,"What's slower than a speeding bullet, and able to hit tall buildings at a single bound?",Comedy,"Jerry Zucker, Jim Abrahams, David Zucker",/7Q3efxd3AF1vQjlSxnlerSA7RzN.jpg,"""What's slower than a speeding bullet, and able to hit tall buildings at a single bound?""","chicago, illinois, post-traumatic stress disorder (ptsd), airplane, cataclysm, guitar, alcohol, stewardess, taxi driver, passenger, fear of flying, pilot, medicine, air controller, landing, saxophone, autopilot, parody, spoof, food poisoning, los angeles, california, alcohol abuse, aftercreditsstinger, inflatable life raft, anarchic comedy"
An American Werewolf in London,2607.0,1981,From the director of Animal House... a different kind of animal.,"Comedy, Horror",John Landis,/hVEqUASJmCQaolkKFEySCHZ8uKG.jpg,"""From the director of Animal House... a different kind of animal.""","dying and death, london, england, intensive care, nurse, loss of loved one, zoo, transformation, full moon, black humor, london underground, yorkshire, rural area, werewolf, creature, moor (terrain), british pub, dream sequence, hikers, london zoo, practical special effects"
Austin Powers: International Man of Mystery,3663.0,1997,Debonair. Defiant. Defrosted.,"Science Fiction, Comedy, Crime",Jay Roach,/5uD4dxNX8JKFjWKYMHyOsqhi5pN.jpg,"""Debonair. Defiant. Defrosted.""","android, telescope, airplane, undercover, missile, spy, group therapy, time travel, penthouse apartment, judo, trapdoor, clowning, secret agent, parody, retro, las vegas, swinging, james bond spoof, swinging 60s, duringcreditsstinger"
Austin Powers: The Spy Who Shagged Me,3570.0,1999,First he fought for the Crown. Now he's fighting for the Family Jewels.,"Adventure, Comedy, Crime, Science Fiction",Jay Roach,/jiF7UShERJFn5RtgfBK2lIJrOTc.jpg,"""First he fought for the Crown. Now he's fighting for the Family Jewels.""","android, exotic island, cia, space marine, showdown, moon, usa president, saving the world, laser gun, submarine, nasa, undercover, clone, spy, car journey, time travel, supermodel, parody, aftercreditsstinger, duringcreditsstinger, ridiculous"
Austin Powers in Goldmember,3334.0,2002,"The grooviest movie of the summer has a secret, baby!","Comedy, Crime, Science Fiction",Jay Roach,/n8V61f1v7idya4WJzGEJNoIp9iL.jpg,"""The grooviest movie of the summer has a secret, baby!""","gold, helicopter, sibling relationship, saving the world, submarine, asteroid, undercover, submachine gun, clone, spy, journey in the past, car journey, nightclub, laser, sumo ringer, family history, time travel, conciliation, clowning, overweight man, belgium, parody, james bond spoof, duringcreditsstinger"
Sleepers,3752.0,1996,Four friends have made a mistake that will change their lives forever.,"Crime, Drama, Thriller",Barry Levinson,/yUpiEk2EojS9ZEXb3nIQonQCYYF.jpg,"""Four friends have made a mistake that will change their lives forever.""","child abuse, sexual abuse, court case, court, repayment, sadistic, pastor, juvenile prison, juvenile delinquent, child"
JFK,2324.0,1991,The story that won't go away.,"Drama, Thriller, History",Oliver Stone,/r0VWVTYlqdRCK5ZoOdNnHdqM2gt.jpg,"""The story that won't go away.""","vietnam war, cia, assassination, usa president, government, politics, homophobia, texas, new orleans, louisiana, investigation, john f. kennedy, historical figure, president, conspiracy, district attorney, death, john f. kennedy assassination, assassination of president, usa history, 1960s, courtroom drama, legal thriller, jacqueline kennedy"
Moulin Rouge!,4746.0,2001,No laws. No limits. One rule. Never fall in love.,"Drama, Romance, Music",Baz Luhrmann,/2kjM5CUZRIU5yOANUowrbJcRL9L.jpg,"""No laws. No limits. One rule. Never fall in love.""","marriage, musical, singer, pre-code"
The Bridge on the River Kwai,2279.0,1957,It spans a whole new world of entertainment!,"Drama, History, War",David Lean,/7paXMt2e3Tr5dLmEZOGgFEn2Vo7.jpg,"""It spans a whole new world of entertainment!""","japan, based on novel or book, resistance, river, world war ii, prisoner of war, thailand, bridge, burma, pacific war, bridge blowup"
Chinatown,4134.0,1974,You get tough. You get tender. You get close to each other. Maybe you even get close to the truth.,"Crime, Drama, Mystery, Thriller",Roman Polanski,/kZRSP3FmOcq0xnBulqpUQngJUXY.jpg,"""You get tough. You get tender. You get close to each other. Maybe you even get close to the truth.""","dying and death, sea, pedophilia, rape, mistake in person, river, chinatown, barrage, conspiracy, whodunit, los angeles, california, private detective, neo-noir"
M,2381.0,1931,Who is the murderer?,"Drama, Thriller, Crime",Fritz Lang,/bTdZk3q2DWpBRnLiaaItKFWOVhI.jpg,"""Who is the murderer?""","berlin, germany, germany, psychopath, detective inspector, child murder, investigation, organized crime, serial killer, black and white, criminal, pre-code, psycho, expressionism, criterion, german expressionism, crime"
Underworld: Evolution,4267.0,2006,A new race. A new battle. A new hero...,"Fantasy, Action, Thriller",Len Wiseman,/oJaQG353uOzOqffQ5K2hg03k4Vp.jpg,"""A new race. A new battle. A new hero...""","budapest, hungary, vampire, key, light, forbidden love, rivalry, werewolf, gothic, evolution, dark fantasy, lycanthrope, urban gothic"
Videodrome,2395.0,1983,First it controls your mind. Then it destroys your body.,"Horror, Science Fiction, Mystery",David Cronenberg,/qqqkiZSU9EBGZ1KiDmfn07S7qvv.jpg,"""First it controls your mind. Then it destroys your body.""","suicide, virtual reality, radio presenter, black market, insanity, paranoia, dystopia, toronto, canada, hallucination, surrealism, sadomasochism, cyberpunk, brainwashing, pittsburgh, pennsylvania, snuff film, pirate broadcast, depressed, ridiculous"
Duel,2005.0,1971,The most bizarre murder weapon ever used!,"Action, Thriller, TV Movie",Steven Spielberg,/trhk6fA4Ss2cyiCYvwegLW9OmEM.jpg,"""The most bizarre murder weapon ever used!""","california, panic, chase, gas station, falsely accused, cliff, deputy, car crash, monologue, truck, salesman, stalking, cowardliness, desert, truck driver, based on short story, road rage, school bus, dangerous driving, eighteen wheeler, locked bumpers, overheating, railroad crossing"
Close Encounters of the Third Kind,4507.0,1977,We are not alone.,"Science Fiction, Drama",Steven Spielberg,/gCWPB8cF82tqzrS9tvzcO6q6nyz.jpg,"""We are not alone.""","wyoming, usa, indiana, usa, flying saucer, extraterrestrial technology, obsession, evacuation, blackout, secret base, alien life-form, alien, ufo, vision, alien abduction, missing person, alien contact, mother ship, extraterrestrial life form, alien language, alien space craft, escapade, obsessive quest, flying ship, ufo sighting, alien encounter, lightshow, extraterrestrial humanoids, mysterious lights, alien spaceship, aliens, extraterrestrial capsule, moving lights, humanoid alien, secret space ufos, flashing lights"
Dune,3323.0,1984,"A world beyond your experience, beyond your imagination.","Action, Science Fiction, Adventure",David Lynch,/4kJmUCE7mkVJjXa7A0g2rY4IGTm.jpg,"""A world beyond your experience, beyond your imagination.""","empire, future, epic, army, based on novel or book, prophecy, dystopia, emperor, sand, spice, hallucinogen, treason, baron, revenge, premonition, betrayal, space, water shortage, creature, desert, knife fight, destiny, giant worm, space opera, sand dune, messiah, mother son relationship, giant creature"
In the Mood for Love,3125.0,2000,"Feel the heat, keep the feeling burning, let the sensation explode.","Drama, Romance",Wong Kar-Wai,/m8jNwTP13ubYZyh5siVuyT9pZDp.jpg,"""Feel the heat, keep the feeling burning, let the sensation explode.""","adultery, newspaper, secret love, martial arts, lovesickness, husband wife relationship, shanghai, china, marriage crisis, married couple, singapore, deceived husband, forbidden love, neighbor, author, hong kong, extramarital affair, 1960s"
Strangers on a Train,1825.0,1951,It starts with a shriek of a train whistle... and ends with shrieking excitement!,"Crime, Thriller",Alfred Hitchcock,/ihC083U7ef56Ui4x0P0dobojrZ1.jpg,"""It starts with a shriek of a train whistle... and ends with shrieking excitement!""","infidelity, island, based on novel or book, perfect crime, psychopath, obsession, detective, suspicion, theory, carousel , lighter, gay interest, film noir, stalking, black and white, train, strangulation, double cross, amusement park, husband wife estrangement, chance meeting, cocktail party, fiancée, perfect murder, penn station, storm drain, tennis match, tennis pro, trains, homosexual subtext, murder swap, the perfect murder"
Willow,2096.0,1988,A world where heroes come in all sizes and adventure is the greatest magic of all.,"Fantasy, Adventure, Action",Ron Howard,/pAIRGMIdN7ZdZhflazdV2ezuJ9f.jpg,"""A world where heroes come in all sizes and adventure is the greatest magic of all.""","mission, hero, baby, monster, magic, prophecy, falsely accused, traitor, queen, animal attack, castle, sorcerer's apprentice, black magic, sword and sorcery"
Enemy at the Gates,3906.0,2001,A single bullet can change history.,"Drama, War, History, Romance",Jean-Jacques Annaud,/cHRAbVdsCWFaQrswRsBP7Bn255W.jpg,"""A single bullet can change history.""","sniper, hero, winter, world war ii, stalingrad, based on true story, nazi officer, battle, bombing, death, 1940s, soviet propaganda, nikita khrushchev"
The Mask,10967.0,1994,From zero to hero.,"Romance, Comedy, Crime, Fantasy",Chuck Russell,/jPC2eYub74zwf2tPGVtzSlBW6Oy.jpg,"""From zero to hero.""","dual identity, bank, superhero, mockery, transformation, villain, surrealism, based on comic, slapstick comedy, balloon, dog, urban setting, jail cell, wisecrack humor, super villain, norse mythology, supernatural power, the mask"
Black Hawk Down,6174.0,2001,Leave no man behind.,"Action, War, History",Ridley Scott,/7fU5dSqKRL4XHeEUz62rCKBfYok.jpg,"""Leave no man behind.""","based on novel or book, ambush, chaos, militia, prisoner of war, wound, somalia, warlord, famine, arms dealer, delta force, gunfight, combat, 1990s, mogadishu, rescue operation, peacekeeper, soldiers, street shootout"
Who Framed Roger Rabbit,6041.0,1988,"It's the story of a man, a woman, and a rabbit in a triangle of trouble.","Fantasy, Animation, Comedy, Crime",Robert Zemeckis,/lYfRc57Kx9VgLZ48iulu0HKnM15.jpg,"""It's the story of a man, a woman, and a rabbit in a triangle of trouble.""","based on novel or book, falsely accused, movie business, innocence, suspicion of murder, cartoon, mental breakdown, whodunit, los angeles, california, love sickness, private detective, movie star, cartoon rabbit, neo-noir, 1940s, live action and animation"
Saving Private Ryan,16820.0,1998,The mission is a man.,"War, Drama, History",Steven Spielberg,/uqx37cS8cpHg8U35f9U5IBlrCV3.jpg,"""The mission is a man.""","epic, army, airplane, self sacrifice, war veteran, war crimes, war ship, bravery, world war ii, normandy, france, parachute, troops, waffen ss, omaha beach, rescue mission, war memorial, cowardice, deserted town, based on true story, d-day, soldier, death, military, military operation, 1940s"
Sleepless in Seattle,2517.0,1993,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?","Comedy, Drama, Romance",Nora Ephron,/jAXfku1u1uaLGh4cUmK0ESf1pPu.jpg,"""What if someone you never met, someone you never saw, someone you never knew was the only someone for you?""","journalist, friendship, lovesickness, airplane, love of one's life, unsociability, parent child relationship, loss of loved one, holiday, radio station, radio presenter, christmas party, seattle, washington, baltimore, usa, fiancé, radio, radio transmission, observation deck, valentine's day, woman director"
WarGames,2064.0,1983,"Is it a game, or is it real?","Thriller, Science Fiction, Drama",John Badham,/zZ1rN4LoPxKNfAp67Xl300WxVeD.jpg,"""Is it a game, or is it real?""","artificial intelligence (a.i.), computer, government, hacker, video game, cold war, fbi, prosecution, norad, nuclear threat"
Total Recall,6259.0,1990,"They stole his mind. Now, he wants it back.","Action, Adventure, Science Fiction",Paul Verhoeven,/wVbeL6fkbTKSmNfalj4VoAUUqJv.jpg,"""They stole his mind. Now, he wants it back.""","double life, planet mars, based on novel or book, oxygen, resistance, telepathy, falsely accused, dystopia, villainess, mutant, hologram, space travel, space colony, utopia, fake identity, secret agent, futuristic, cyberpunk, fictional war, false memory, robot cop, implanted memory, action hero, virtual world, 2080s"
Toy Story,19483.0,1995,The adventure takes off when toys come to life!,"Family, Comedy, Animation, Adventure",John Lasseter,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,"""The adventure takes off when toys come to life!""","rescue, friendship, mission, martial arts, jealousy, bullying, elementary school, rivalry, anthropomorphism, friends, computer animation, buddy, walkie talkie, toy car, boy next door, new toy, neighborhood, toy comes to life, resourcefulness"
Toy Story 2,14591.0,1999,The toys are back!,"Animation, Comedy, Family",John Lasseter,/4rbcp3ng8n1MKHjpeqW0L7Fnpzz.jpg,"""The toys are back!""","friendship, airplane, museum, prosecution, identity crisis, flea market, collector, sequel, buddy, rescue team, garage sale, duringcreditsstinger, toy comes to life, personification, inanimate objects come to life"
Cool Runnings,2184.0,1993,One dream. Four Jamaicans. Twenty below zero.,"Comedy, Adventure, Drama",Jon Turteltaub,/6fXuGEb7EqGmAeUodxm7l5ELPZ.jpg,"""One dream. Four Jamaicans. Twenty below zero.""","underdog, sports, winter, olympic games, jamaica, trainer, training camp, reggae, bobsleighing, bobsled, calgary"
The Running Man,2701.0,1987,"It is the year 2019. ""The Running Man"" is a deadly game no one has ever survived. But Schwarzenegger has yet to play.","Action, Thriller, Science Fiction",Paul Michael Glaser,/GTAUOhO4BN0peJVvxGEQydJvUO.jpg,"""It is the year 2019. ""The Running Man"" is a deadly game no one has ever survived. But Schwarzenegger has yet to play.""","prison, based on novel or book, chase, dystopia, post-apocalyptic future, hunting human beings, game show, death game"
Finding Neverland,3662.0,2004,Where will your imagination take you?,"Drama, Fantasy",Marc Forster,/5JyDPH4qdr0I6pF7Bjh1Qrf1Jhh.jpg,"""Where will your imagination take you?""","london, england, stroke of fate, becoming an adult, parent child relationship, faith, widow, theater play, peter pan, theatre group, author, illness, children's author"
Planet of the Apes,4296.0,2001,,"Thriller, Science Fiction, Action, Adventure",Tim Burton,/eEsOgbgKXMvI2FEw1WENamVXi41.jpg,"""nan""","space marine, bondage, human evolution, based on novel or book, gorilla, dystopia, chimp, slavery, time travel, space travel, apocalypse, astronaut, ape, human subjugation"
Planet of the Apes,3813.0,1968,"Somewhere in the Universe, there must be something better than man!","Science Fiction, Adventure, Drama, Action",Franklin J. Schaffner,/2r9iKnlSYEk4daQadsXfcjHfIjQ.jpg,"""Somewhere in the Universe, there must be something better than man!""","space marine, bondage, human evolution, based on novel or book, gorilla, dystopia, chimp, slavery, time travel, space travel, apocalypse, astronaut, ape, human subjugation"
Singin' in the Rain,3397.0,1952,What a Glorious Feeling!,"Comedy, Romance","Gene Kelly, Stanley Donen",/w03EiJVHP8Un77boQeE7hg9DVdU.jpg,"""What a Glorious Feeling!""","fan, musical, partner, film in film, hollywood, broadway, dancing in the street, audience, chorus girl, diction coach, pearl necklace, flapper, silent film star, squeaky voice, 1920s, old hollywood, talkies, dancing in the rain"
The Color Purple,1910.0,1985,It's about life. It's about love. It's about us.,"Drama, History",Steven Spielberg,/6bvxkcTAXyqxGRwo38mxw92D6Xr.jpg,"""It's about life. It's about love. It's about us.""","adultery, child abuse, based on novel or book, southern usa, faith, forgiveness, georgia, musical, based on play or musical, child bride, memphis, tennessee, lesbian relationship, domestic abuse, religion, domestic violence, racism, older man younger woman relationship, incest, county jail, self esteem, hardship, lgbt, child marriage, estranged family member, pregnant teen, female empowerment, forced marriage, 1920s, 1940s, 1910s, sisterhood, abusive father, 1930s, unwanted marriage, women's liberation, christian missionary, 1900s, sister sister relationship, race relations, resilience, soul music, child sexual abuse, 20th century, bisexual woman, underage marriage, familial reconciliation"
Hook,5598.0,1991,To live would be an awfully big adventure.,"Adventure, Fantasy, Comedy, Family",Steven Spielberg,/a6rB1lGXoGms7gWxRfJneQmAjNV.jpg,"""To live would be an awfully big adventure.""","rescue, daughter, flying, swordplay, sword, fairy tale, peter pan, memory loss, duel, pirate, hook, hook for a hand"
A Few Good Men,4003.0,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",Drama,Rob Reiner,/rLOk4z9zL1tTukIYV56P94aZXKk.jpg,"""In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.""",gay pornography
